id,league,name,display_name,team_id,status,source_url,last_verified_utc,notes
atlanta_dream_aaliyah_nye,WNBA,Aaliyah Nye,Aaliyah Nye,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172160+00:00,official_roster_text_review_required
atlanta_dream_allisha_gray,WNBA,Allisha Gray,Allisha Gray,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172117+00:00,official_roster_text_review_required
atlanta_dream_amy_okonkwo,WNBA,Amy Okonkwo,Amy Okonkwo,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172045+00:00,official_roster_text_review_required
atlanta_dream_angel_reese,WNBA,Angel Reese,Angel Reese,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172080+00:00,official_roster_text_review_required
atlanta_dream_brionna_jones,WNBA,Brionna Jones,Brionna Jones,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172170+00:00,official_roster_text_review_required
atlanta_dream_indya_nivar,WNBA,Indya Nivar,Indya Nivar,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172139+00:00,official_roster_text_review_required
atlanta_dream_isobel_borlase,WNBA,Isobel Borlase,Isobel Borlase,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172128+00:00,official_roster_text_review_required
atlanta_dream_jordin_canada,WNBA,Jordin Canada,Jordin Canada,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172069+00:00,official_roster_text_review_required
atlanta_dream_madina_okot,WNBA,Madina Okot,Madina Okot,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172100+00:00,official_roster_text_review_required
atlanta_dream_naz_hillmon,WNBA,Naz Hillmon,Naz Hillmon,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172014+00:00,official_roster_text_review_required
atlanta_dream_rhyne_howard,WNBA,Rhyne Howard,Rhyne Howard,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172090+00:00,official_roster_text_review_required
atlanta_dream_sika_kone,WNBA,Sika Kone,Sika Kone,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172149+00:00,official_roster_text_review_required
atlanta_dream_te_hina_paopao,WNBA,Te-Hina Paopao,Te-Hina Paopao,atlanta_dream,active_candidate,https://dream.wnba.com/roster,2026-06-16T01:56:14.172058+00:00,official_roster_text_review_required
chicago_sky_aicha_coulibaly,WNBA,Aicha Coulibaly,Aicha Coulibaly,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375825+00:00,official_roster_text_review_required
chicago_sky_azura_stevens,WNBA,Azura Stevens,Azura Stevens,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375812+00:00,official_roster_text_review_required
chicago_sky_courtney_vandersloot,WNBA,Courtney Vandersloot,Courtney Vandersloot,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375788+00:00,official_roster_text_review_required
chicago_sky_dijonai_carrington,WNBA,DiJonai Carrington,DiJonai Carrington,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375716+00:00,official_roster_text_review_required
chicago_sky_elizabeth_williams,WNBA,Elizabeth Williams,Elizabeth Williams,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375669+00:00,official_roster_text_review_required
chicago_sky_gabriela_jaquez,WNBA,Gabriela Jaquez,Gabriela Jaquez,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375751+00:00,official_roster_text_review_required
chicago_sky_jacy_sheldon,WNBA,Jacy Sheldon,Jacy Sheldon,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375643+00:00,official_roster_text_review_required
chicago_sky_kamilla_cardoso,WNBA,Kamilla Cardoso,Kamilla Cardoso,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375740+00:00,official_roster_text_review_required
chicago_sky_maddy_westbeld,WNBA,Maddy Westbeld,Maddy Westbeld,chicago_sky,active_candidate,https://sky.wnba.com/roster,2026-06-16T01:56:14.375775+00:00,official_roster_text_review_required
