run_id,source_name,source_priority,source_event_id,canonical_key,sport_norm,league_norm,competition_id,gender_scope,scheduled_start_utc,scheduled_date_local,home_team_raw,away_team_raw,home_team_norm,away_team_norm,status_raw,status_norm,home_score,away_score,score_by_period_json,team_stats_json,player_stats_json,top_performers_json,source_url,fetched_at_utc,http_status,parse_ok,stale_rejected,women_match_method,raw_archive_path,notes
62ec951579c45507,api_sports,100,493746,basketball|2026-06-04|capitanes de arecibo|leones de ponce,basketball,BSN,Puerto Rico,unknown,2026-06-05T00:00:00+00:00,2026-06-04,Leones De Ponce,Capitanes de Arecibo,leones de ponce,capitanes de arecibo,Game Finished,final,101,92,"{""home"": {""quarter_1"": 19, ""quarter_2"": 24, ""quarter_3"": 33, ""quarter_4"": 25, ""over_time"": null, ""total"": 101}, ""away"": {""quarter_1"": 27, ""quarter_2"": 23, ""quarter_3"": 21, ""quarter_4"": 21, ""over_time"": null, ""total"": 92}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.016817+00:00,200,Yes,No,none,,requested_date=2026-06-05; country=Puerto Rico
62ec951579c45507,api_sports,100,493747,basketball|2026-06-04|criollos de caguas|osos de manati,basketball,BSN,Puerto Rico,unknown,2026-06-05T00:00:00+00:00,2026-06-04,Osos de Manati,Criollos de Caguas,osos de manati,criollos de caguas,Game Finished,final,98,89,"{""home"": {""quarter_1"": 27, ""quarter_2"": 23, ""quarter_3"": 24, ""quarter_4"": 24, ""over_time"": null, ""total"": 98}, ""away"": {""quarter_1"": 26, ""quarter_2"": 20, ""quarter_3"": 18, ""quarter_4"": 25, ""over_time"": null, ""total"": 89}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.016959+00:00,200,Yes,No,none,,requested_date=2026-06-05; country=Puerto Rico
62ec951579c45507,api_sports,100,499890,basketball|2026-06-04|cd puerto varas|espanol osorno,basketball,LNB,Chile,unknown,2026-06-05T00:30:00+00:00,2026-06-04,CD Puerto Varas,Espanol Osorno,cd puerto varas,espanol osorno,Game Finished,final,87,83,"{""home"": {""quarter_1"": 18, ""quarter_2"": 25, ""quarter_3"": 19, ""quarter_4"": 25, ""over_time"": null, ""total"": 87}, ""away"": {""quarter_1"": 22, ""quarter_2"": 26, ""quarter_3"": 15, ""quarter_4"": 20, ""over_time"": null, ""total"": 83}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017068+00:00,200,Yes,No,none,,requested_date=2026-06-05; country=Chile
62ec951579c45507,api_sports,100,494846,basketball|2026-06-04|golden state valkyries w|minnesota lynx w,basketball,NBA W,USA,women,2026-06-05T01:00:00+00:00,2026-06-04,Minnesota Lynx W,Golden State Valkyries W,minnesota lynx w,golden state valkyries w,Game Finished,final,87,84,"{""home"": {""quarter_1"": 18, ""quarter_2"": 24, ""quarter_3"": 23, ""quarter_4"": 22, ""over_time"": null, ""total"": 87}, ""away"": {""quarter_1"": 22, ""quarter_2"": 22, ""quarter_3"": 22, ""quarter_4"": 18, ""over_time"": null, ""total"": 84}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017176+00:00,200,Yes,No,team_suffix,,requested_date=2026-06-05; country=USA
62ec951579c45507,api_sports,100,485326,basketball|2026-06-05|franklin bulls|otago nuggets,basketball,NBL,New Zealand,unknown,2026-06-05T07:30:00+00:00,2026-06-05,Otago Nuggets,Franklin Bulls,otago nuggets,franklin bulls,Game Finished,final,93,94,"{""home"": {""quarter_1"": 27, ""quarter_2"": 25, ""quarter_3"": 22, ""quarter_4"": 19, ""over_time"": null, ""total"": 93}, ""away"": {""quarter_1"": 22, ""quarter_2"": 25, ""quarter_3"": 20, ""quarter_4"": 27, ""over_time"": null, ""total"": 94}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017277+00:00,200,Yes,No,none,,requested_date=2026-06-05; country=New Zealand
62ec951579c45507,api_sports,100,487954,basketball|2026-06-05|logan thunder w|rockhampton w,basketball,NBL1 North Women,Australia,women,2026-06-05T08:00:00+00:00,2026-06-05,Logan Thunder W,Rockhampton W,logan thunder w,rockhampton w,Game Finished,final,87,82,"{""home"": {""quarter_1"": 23, ""quarter_2"": 20, ""quarter_3"": 24, ""quarter_4"": 20, ""over_time"": null, ""total"": 87}, ""away"": {""quarter_1"": 21, ""quarter_2"": 21, ""quarter_3"": 11, ""quarter_4"": 29, ""over_time"": null, ""total"": 82}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017370+00:00,200,Yes,No,league_name,,requested_date=2026-06-05; country=Australia
62ec951579c45507,api_sports,100,488406,basketball|2026-06-05|ba coe w|canberra w,basketball,NBL1 East Women,Australia,women,2026-06-05T08:00:00+00:00,2026-06-05,Canberra W,BA CoE W,canberra w,ba coe w,Game Finished,final,79,80,"{""home"": {""quarter_1"": 16, ""quarter_2"": 12, ""quarter_3"": 20, ""quarter_4"": 31, ""over_time"": null, ""total"": 79}, ""away"": {""quarter_1"": 16, ""quarter_2"": 31, ""quarter_3"": 15, ""quarter_4"": 18, ""over_time"": null, ""total"": 80}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017477+00:00,200,Yes,No,league_name,,requested_date=2026-06-05; country=Australia
62ec951579c45507,api_sports,100,499174,basketball|2026-06-05|batangas city|iloilo united royals,basketball,MPBL,Philippines,unknown,2026-06-05T08:00:00+00:00,2026-06-05,Batangas City,Iloilo United Royals,batangas city,iloilo united royals,Game Finished,final,102,67,"{""home"": {""quarter_1"": 27, ""quarter_2"": 25, ""quarter_3"": 24, ""quarter_4"": 26, ""over_time"": null, ""total"": 102}, ""away"": {""quarter_1"": 12, ""quarter_2"": 12, ""quarter_3"": 24, ""quarter_4"": 19, ""over_time"": null, ""total"": 67}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017604+00:00,200,Yes,No,none,,requested_date=2026-06-05; country=Philippines
62ec951579c45507,api_sports,100,487772,basketball|2026-06-05|casey cavaliers w|melbourne tigers w,basketball,NBL1 South Women,Australia,women,2026-06-05T08:30:00+00:00,2026-06-05,Casey Cavaliers W,Melbourne Tigers W,casey cavaliers w,melbourne tigers w,Game Finished,final,83,70,"{""home"": {""quarter_1"": 20, ""quarter_2"": 18, ""quarter_3"": 17, ""quarter_4"": 28, ""over_time"": null, ""total"": 83}, ""away"": {""quarter_1"": 14, ""quarter_2"": 17, ""quarter_3"": 14, ""quarter_4"": 25, ""over_time"": null, ""total"": 70}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017706+00:00,200,Yes,No,league_name,,requested_date=2026-06-05; country=Australia
62ec951579c45507,api_sports,100,487773,basketball|2026-06-05|frankston w|sandringham w,basketball,NBL1 South Women,Australia,women,2026-06-05T08:30:00+00:00,2026-06-05,Frankston W,Sandringham W,frankston w,sandringham w,Game Finished,final,52,70,"{""home"": {""quarter_1"": 8, ""quarter_2"": 17, ""quarter_3"": 8, ""quarter_4"": 19, ""over_time"": null, ""total"": 52}, ""away"": {""quarter_1"": 20, ""quarter_2"": 18, ""quarter_3"": 17, ""quarter_4"": 15, ""over_time"": null, ""total"": 70}}",,,,https://v1.basketball.api-sports.io/games,2026-06-06T22:04:52.017795+00:00,200,Yes,No,league_name,,requested_date=2026-06-05; country=Australia
