event_id,league_label,matchup,game_state,winner,final_score,performer_rank,player_name,team,statline,source
401856963,WNBA,Connecticut Sun at Chicago Sky,Final,Chicago Sky,Connecticut Sun 80 - Chicago Sky 85,1,Brittney Griner,Connecticut Sun,"PTS 16, REB 8, AST 5, BLK 3, FG 6-8",WNBA
401856964,WNBA,Dallas Wings at Los Angeles Sparks,Final,Dallas Wings,Dallas Wings 104 - Los Angeles Sparks 96,1,Jessica Shepard,Dallas Wings,"PTS 22, REB 15, AST 5, STL 2, FG 9-13",WNBA
401856965,WNBA,Phoenix Mercury at Portland Fire,Final,Phoenix Mercury,Phoenix Mercury 78 - Portland Fire 72,1,DeWanna Bonner,Phoenix Mercury,"PTS 19, REB 5, AST 5, STL 2, BLK 3",WNBA
401856966,WNBA,Seattle Storm at Minnesota Lynx,Final,Minnesota Lynx,Seattle Storm 68 - Minnesota Lynx 88,1,Natasha Howard,Minnesota Lynx,"PTS 27, REB 5, AST 1, STL 3, BLK 2",WNBA
401856967,WNBA,Golden State Valkyries at Las Vegas Aces,Final,Las Vegas Aces,Golden State Valkyries 79 - Las Vegas Aces 84,1,A'ja Wilson,Las Vegas Aces,"PTS 28, REB 14, AST 3, FG 9-17, 3PT 2-4",WNBA
401856963,WNBA,Connecticut Sun at Chicago Sky,Final,Chicago Sky,Connecticut Sun 80 - Chicago Sky 85,2,Skylar Diggins,Chicago Sky,"PTS 24, REB 3, AST 4, STL 1, FG 6-16",WNBA
401856964,WNBA,Dallas Wings at Los Angeles Sparks,Final,Dallas Wings,Dallas Wings 104 - Los Angeles Sparks 96,2,Arike Ogunbowale,Dallas Wings,"PTS 30, REB 6, AST 6, FG 10-21, 3PT 6-11",WNBA
401856965,WNBA,Phoenix Mercury at Portland Fire,Final,Phoenix Mercury,Phoenix Mercury 78 - Portland Fire 72,2,Natasha Mack,Phoenix Mercury,"PTS 16, REB 4, AST 2, STL 1, BLK 1",WNBA
401856966,WNBA,Seattle Storm at Minnesota Lynx,Final,Minnesota Lynx,Seattle Storm 68 - Minnesota Lynx 88,2,Olivia Miles,Minnesota Lynx,"PTS 19, REB 6, AST 6, STL 1, FG 9-14",WNBA
401856967,WNBA,Golden State Valkyries at Las Vegas Aces,Final,Las Vegas Aces,Golden State Valkyries 79 - Las Vegas Aces 84,2,Gabby Williams,Golden State Valkyries,"PTS 27, REB 6, AST 1, STL 2, FG 10-17",WNBA
401856963,WNBA,Connecticut Sun at Chicago Sky,Final,Chicago Sky,Connecticut Sun 80 - Chicago Sky 85,3,Aneesah Morrow,Connecticut Sun,"PTS 8, REB 17, AST 3, STL 1, BLK 1",WNBA
401856964,WNBA,Dallas Wings at Los Angeles Sparks,Final,Dallas Wings,Dallas Wings 104 - Los Angeles Sparks 96,3,Paige Bueckers,Dallas Wings,"PTS 18, REB 3, AST 14, STL 1, FG 7-14",WNBA
401856965,WNBA,Phoenix Mercury at Portland Fire,Final,Phoenix Mercury,Phoenix Mercury 78 - Portland Fire 72,3,Monique Akoa Makani,Phoenix Mercury,"PTS 11, REB 4, AST 2, STL 3, BLK 1",WNBA
401856966,WNBA,Seattle Storm at Minnesota Lynx,Final,Minnesota Lynx,Seattle Storm 68 - Minnesota Lynx 88,3,Natisha Hiedeman,Seattle Storm,"PTS 14, REB 4, AST 5, STL 3, FG 4-10",WNBA
