entity_type,entity_id,league_id,team_id,asset_slot,intended_use,target_path,source_url_required,local_file_path,file_exists,approval_status,render_enabled,auto_download_allowed,publish_ready,notes
league,nwsl,nwsl,,league_mark,league reference only,assets/leagues/womens_soccer/nwsl/league_mark.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,angel_city_fc,nwsl,angel_city_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/angel_city_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,bay_fc,nwsl,bay_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/bay_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,boston_legacy_fc,nwsl,boston_legacy_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/boston_legacy_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,chicago_stars_fc,nwsl,chicago_stars_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/chicago_stars_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,denver_summit_fc,nwsl,denver_summit_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/denver_summit_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,houston_dash,nwsl,houston_dash,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/houston_dash/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,kansas_city_current,nwsl,kansas_city_current,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/kansas_city_current/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,gotham_fc,nwsl,gotham_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/gotham_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,north_carolina_courage,nwsl,north_carolina_courage,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/north_carolina_courage/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,orlando_pride,nwsl,orlando_pride,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/orlando_pride/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,portland_thorns_fc,nwsl,portland_thorns_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/portland_thorns_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,racing_louisville_fc,nwsl,racing_louisville_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/racing_louisville_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,san_diego_wave_fc,nwsl,san_diego_wave_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/san_diego_wave_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,seattle_reign,nwsl,seattle_reign,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/seattle_reign/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,utah_royals_fc,nwsl,utah_royals_fc,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/utah_royals_fc/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
team,washington_spirit,nwsl,washington_spirit,primary_logo,team identity reference,assets/leagues/womens_soccer/nwsl/teams/washington_spirit/logo.png,true,,false,not_approved,false,false,false,Proposed path only no file movement
player_template,{player_id},nwsl,{team_id},headshot,manual player reference,assets/leagues/womens_soccer/nwsl/players/{player_id}/headshot.png,true,,false,not_approved,false,false,false,Template row only operator must replace player_id
player_template,{player_id},nwsl,{team_id},cutout,manual player reference,assets/leagues/womens_soccer/nwsl/players/{player_id}/cutout.png,true,,false,not_approved,false,false,false,Template row only operator must replace player_id
