league,entity_type,team_id,team_name,asset_type,local_logo_path,png_path,png_exists,svg_path,svg_exists,preferred_format,file_exists,approval_status,required,missing_status,fallback_status,logo_readiness_status,renderer_fallback_cue,source_url,source_note,source_trust_status,verified_registry_status,blocked_url_match,evidence,render_template_ids,template_scope,review_only,operator_action
WNBA,league_logo,,,league_logo,assets/leagues/wnba/logo.png,assets/leagues/wnba/logo.png,false,assets/leagues/wnba/logo.svg,false,,false,missing,false,missing_local_league_logo_file,fallback_review_only_human_hold,optional_league_logo_file_missing_review_only,league_mark_slot_stays_review_only_until_manual_source_and_file_review,,league_logo_catalog_probe_no_auto_approval,league_logo_source_not_registered_review_required,not_applicable,,png_exists=false; svg_exists=false; logo_readiness_status=optional_league_logo_file_missing_review_only; renderer_fallback_cue=league_mark_slot_stays_review_only_until_manual_source_and_file_review,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,optional_supply_league_logo_then_manual_review
WNBA,team_logo,atlanta_dream,Atlanta Dream,primary_logo,assets/leagues/wnba/teams/atlanta_dream/logo.png,assets/leagues/wnba/teams/atlanta_dream/logo.png,true,assets/leagues/wnba/teams/atlanta_dream/logo.svg,false,png,true,unapproved_review_required,true,local_file_exists_manual_review_required,fallback_review_only_human_hold,local_logo_manual_review_required,text_badge_or_placeholder_fallback_is_review_only_human_hold,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Atlanta_Dream_logo.svg/250px-Atlanta_Dream_logo.svg.png,local_png_exists_review_required_exact_logo,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/atlanta_dream/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Atlanta_Dream_logo.svg/250px-Atlanta_Dream_logo.svg.png; source_note=local_png_exists_review_required_exact_logo; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=false; logo_readiness_status=local_logo_manual_review_required; renderer_fallback_cue=text_badge_or_placeholder_fallback_is_review_only_human_hold,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,human_review_required_do_not_auto_enable
WNBA,team_logo,chicago_sky,Chicago Sky,primary_logo,assets/leagues/wnba/teams/chicago_sky/logo.png,assets/leagues/wnba/teams/chicago_sky/logo.png,true,assets/leagues/wnba/teams/chicago_sky/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/f/fc/Chicago_Sky_logo.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/chicago_sky/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/f/fc/Chicago_Sky_logo.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,connecticut_sun,Connecticut Sun,primary_logo,assets/leagues/wnba/teams/connecticut_sun/logo.png,assets/leagues/wnba/teams/connecticut_sun/logo.png,true,assets/leagues/wnba/teams/connecticut_sun/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/0/09/Connecticut_Sun_logo.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/connecticut_sun/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/0/09/Connecticut_Sun_logo.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,indiana_fever,Indiana Fever,primary_logo,assets/leagues/wnba/teams/indiana_fever/logo.png,assets/leagues/wnba/teams/indiana_fever/logo.png,true,assets/leagues/wnba/teams/indiana_fever/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/5/54/Indiana_Fever_logo.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/indiana_fever/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/5/54/Indiana_Fever_logo.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,new_york_liberty,New York Liberty,primary_logo,assets/leagues/wnba/teams/new_york_liberty/logo.png,assets/leagues/wnba/teams/new_york_liberty/logo.png,true,assets/leagues/wnba/teams/new_york_liberty/logo.svg,false,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://liberty.wnba.com/,human_reviewed_official_team_source_for_review_only_renderer_use,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/new_york_liberty/logo.png; source_url=https://liberty.wnba.com/; source_note=human_reviewed_official_team_source_for_review_only_renderer_use; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=false; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,toronto_tempo,Toronto Tempo,primary_logo,assets/leagues/wnba/teams/toronto_tempo/logo.png,assets/leagues/wnba/teams/toronto_tempo/logo.png,true,assets/leagues/wnba/teams/toronto_tempo/logo.svg,false,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Toronto_Tempo_logo.svg/250px-Toronto_Tempo_logo.svg.png,strict_exact_identity_match,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/toronto_tempo/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Toronto_Tempo_logo.svg/250px-Toronto_Tempo_logo.svg.png; source_note=strict_exact_identity_match; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=false; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,washington_mystics,Washington Mystics,primary_logo,assets/leagues/wnba/teams/washington_mystics/logo.png,assets/leagues/wnba/teams/washington_mystics/logo.png,true,assets/leagues/wnba/teams/washington_mystics/logo.svg,false,png,true,unapproved_review_required,true,local_file_exists_manual_review_required,fallback_review_only_human_hold,local_logo_manual_review_required,text_badge_or_placeholder_fallback_is_review_only_human_hold,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Washington_Mystics_logo.svg/250px-Washington_Mystics_logo.svg.png,local_png_exists_review_required_exact_logo,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/washington_mystics/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Washington_Mystics_logo.svg/250px-Washington_Mystics_logo.svg.png; source_note=local_png_exists_review_required_exact_logo; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=false; logo_readiness_status=local_logo_manual_review_required; renderer_fallback_cue=text_badge_or_placeholder_fallback_is_review_only_human_hold,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,human_review_required_do_not_auto_enable
WNBA,team_logo,dallas_wings,Dallas Wings,primary_logo,assets/leagues/wnba/teams/dallas_wings/logo.png,assets/leagues/wnba/teams/dallas_wings/logo.png,true,assets/leagues/wnba/teams/dallas_wings/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/9/95/Dallas_Wings_logo.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/dallas_wings/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/9/95/Dallas_Wings_logo.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,golden_state_valkyries,Golden State Valkyries,primary_logo,assets/leagues/wnba/teams/golden_state_valkyries/logo.png,assets/leagues/wnba/teams/golden_state_valkyries/logo.png,true,assets/leagues/wnba/teams/golden_state_valkyries/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/0/00/Golden_State_Valkyries_logo.svg,strict_exact_identity_match,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/golden_state_valkyries/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/0/00/Golden_State_Valkyries_logo.svg; source_note=strict_exact_identity_match; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,las_vegas_aces,Las Vegas Aces,primary_logo,assets/leagues/wnba/teams/las_vegas_aces/logo.png,assets/leagues/wnba/teams/las_vegas_aces/logo.png,true,assets/leagues/wnba/teams/las_vegas_aces/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/f/ff/New_Las_Vegas_Aces_WNBA_logo_2024.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/las_vegas_aces/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/f/ff/New_Las_Vegas_Aces_WNBA_logo_2024.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,los_angeles_sparks,Los Angeles Sparks,primary_logo,assets/leagues/wnba/teams/los_angeles_sparks/logo.png,assets/leagues/wnba/teams/los_angeles_sparks/logo.png,true,assets/leagues/wnba/teams/los_angeles_sparks/logo.svg,false,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Los_Angeles_Sparks_logo.svg/250px-Los_Angeles_Sparks_logo.svg.png,strict_exact_identity_match,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/los_angeles_sparks/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Los_Angeles_Sparks_logo.svg/250px-Los_Angeles_Sparks_logo.svg.png; source_note=strict_exact_identity_match; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=false; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,minnesota_lynx,Minnesota Lynx,primary_logo,assets/leagues/wnba/teams/minnesota_lynx/logo.png,assets/leagues/wnba/teams/minnesota_lynx/logo.png,true,assets/leagues/wnba/teams/minnesota_lynx/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/7/75/Minnesota_Lynx_logo.svg,strict_exact_identity_match,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/minnesota_lynx/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/7/75/Minnesota_Lynx_logo.svg; source_note=strict_exact_identity_match; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
WNBA,team_logo,phoenix_mercury,Phoenix Mercury,primary_logo,assets/leagues/wnba/teams/phoenix_mercury/logo.png,assets/leagues/wnba/teams/phoenix_mercury/logo.png,true,assets/leagues/wnba/teams/phoenix_mercury/logo.svg,true,png,true,approved,true,ready_exact_logo_registered,no_fallback_needed,exact_logo_ready_for_review_renderer,renderer_may_use_exact_local_logo_after_normal_visual_qa,https://upload.wikimedia.org/wikipedia/en/4/48/Phoenix_Mercury_logo_2025.svg,local_png_fallback_from_approved_svg,registered_source_policy_no_block_match,verified_policy_present,,registry_path=assets/leagues/wnba/teams/phoenix_mercury/logo.png; source_url=https://upload.wikimedia.org/wikipedia/en/4/48/Phoenix_Mercury_logo_2025.svg; source_note=local_png_fallback_from_approved_svg; verified_registry_status=verified_policy_present; png_exists=true; svg_exists=true; logo_readiness_status=exact_logo_ready_for_review_renderer; renderer_fallback_cue=renderer_may_use_exact_local_logo_after_normal_visual_qa,game_recap_final_score.a.v1;game_recap_final_score.c.story.v1;last_night_in_the_w.a.v1;last_night_in_the_w.b.story.v1;last_night_in_the_w.c.carousel.v1;tonight_in_the_w.a.v1,current_review_mapping,true,catalog_only_no_action
